t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.00,
0.151,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.00,
0.203,0,WARMUP,0.203,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.01,0.0000,0.00,
0.254,0,WARMUP,0.254,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.302,0,WARMUP,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.404,0,WARMUP,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.452,0,WARMUP,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.502,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.552,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,-0.0000,-0.0000,0.01,0.0000,0.00,
0.702,0,WARMUP,0.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,
0.752,0,WARMUP,0.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,
0.805,0,WARMUP,0.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,FIN_WARMUP
0.806,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,
0.854,0,DRIVE,0.049,0.300,-0.070,-0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,
