t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.052,0,WARMUP,0.053,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.02,-0.0000,0.0000,0.01,0.0000,0.02,
0.102,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.02,0.0000,-0.0000,0.02,0.0000,0.02,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,0.01,-0.0000,0.0000,0.01,-0.0000,0.01,
0.201,0,WARMUP,0.201,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.02,-0.0000,0.0000,0.03,0.0000,0.02,
0.251,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.01,-0.0000,-0.0000,-0.01,-0.0000,0.01,
0.301,0,WARMUP,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0000,-0.0000,-0.01,-0.0000,0.00,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0000,-0.0000,-0.01,-0.0000,0.00,
0.401,0,WARMUP,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.02,0.0000,-0.0000,0.07,-0.0000,0.02,
0.452,0,WARMUP,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.05,-0.0000,-0.0000,0.03,-0.0000,0.05,
0.501,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,-0.0000,0.02,-0.0000,0.04,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.03,-0.0000,-0.0000,0.06,-0.0000,0.03,
0.602,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.04,-0.0000,0.0000,0.05,-0.0000,0.04,
0.651,0,WARMUP,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0000,0.0000,0.05,-0.0000,0.00,
0.701,0,WARMUP,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,-0.0000,0.00,-0.0000,0.0000,0.05,-0.0000,0.00,
