t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,est_x,est_y,est_yaw_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.151,0,WARMUP,0.152,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.201,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.251,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.301,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.351,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.401,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.451,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.501,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.551,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.601,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.651,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.701,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.751,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.804,0,WARMUP,0.804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,FIN_WARMUP
0.805,0,DRIVE,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.852,0,DRIVE,0.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.902,0,DRIVE,0.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.952,0,DRIVE,0.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.002,0,DRIVE,0.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.052,0,DRIVE,0.247,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.102,0,DRIVE,0.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.152,0,DRIVE,0.347,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.202,0,DRIVE,0.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.252,0,DRIVE,0.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.302,0,DRIVE,0.497,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.352,0,DRIVE,0.547,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.402,0,DRIVE,0.597,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.452,0,DRIVE,0.647,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.502,0,DRIVE,0.697,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.552,0,DRIVE,0.747,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.602,0,DRIVE,0.797,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.652,0,DRIVE,0.847,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.702,0,DRIVE,0.897,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
